time,lbr_1,lbr_2,lbr_3,hmgcr_1,hmgcr_2,hmgcr_3,sqle_1,sqle_2,sqle_3,sc4mol_1,sc4mol_2,sc4mol_3,pmvk_1,pmvk_2,pmvk_3,rship_1,rship_2,rship_3,nsdhl_1,nsdhl_2,rship4_1,rship4_2,rship4_3,rship4n_1,rship4n_2,rship4n_3,cyp51a1_1,cyp51a1_2,cyp51a1_3,wt_1,wt_2,wt_3,hetrship4n7_1,hetrship4n7_2,hetrship4n7_3,hetrship4nk_1,hetrship4nk_2,hetrship4n_1,hetrship4n_2,hetrship4n_3,hetrship4nc_1,hetrship4nc_2,hetrship4nc_3,rship4nt_1,rship4nt_2,rship4nt_3,hetrship4nt_1,hetrship4nt_2,rship4ntc_1,rship4ntc_2,rship4ntk_1,rship4ntk_2,rship4ntk_3,mvk_1,mvk_2,mvk_3
0,0.035,0.015,0.025,0.008,0.009,0.01,0.009,0.023,0.011,0.009,0.008,0.01,0.008,0.008,0.012,0.007,0.056,0.006,0.013,0.003,0.026,0.02,0.011,0.007,0.007,0.005,0.008,0.009,0.01,0.01,0.012,0.008,0.008,0.008,0.012,0.006,0.005,0.006,0.003,0.004,0.01,0.015,0.021,0.001,0.001,0.008,0.012,0.014,0.005333333,0.009333333,0.010333333,0.007333333,0.009333333,0.004,0.004,0.005
0.33,0.073,0.038,0.054,0.012,0.015,0.017,0.011,0.026,0.013,0.009,0.007,0.01,0.008,0.008,0.012,0.007,0.061,0.006,0.013,0.003,0.031,0.022,0.01,0.007,0.007,0.005,0.008,0.011,0.012,0.017,0.023,0.016,0.015,0.018,0.025,0.008,0.007,0.014,0.008,0.008,0.017,0.024,0.03,0.002,0.003,0.006,0.016,0.017,0.007333333,0.010333333,0.012333333,0.010333333,0.010333333,0.004,0.004,0.005
0.67,0.102,0.073,0.081,0.019,0.024,0.029,0.013,0.029,0.016,0.01,0.009,0.011,0.009,0.009,0.013,0.008,0.064,0.006,0.013,0.003,0.034,0.024,0.011,0.008,0.008,0.006,0.009,0.012,0.015,0.028,0.037,0.029,0.027,0.033,0.041,0.01,0.009,0.022,0.013,0.012,0.025,0.035,0.043,0.002,0.003,0.008,0.018,0.019,0.007333333,0.011333333,0.012333333,0.010333333,0.011333333,0.004,0.005,0.005
1,0.11,0.098,0.093,0.027,0.036,0.045,0.016,0.032,0.02,0.011,0.009,0.012,0.009,0.009,0.014,0.008,0.067,0.007,0.013,0.003,0.037,0.026,0.012,0.008,0.009,0.006,0.01,0.013,0.014,0.042,0.055,0.044,0.043,0.052,0.061,0.012,0.011,0.034,0.02,0.018,0.035,0.048,0.056,0.002,0.004,0.009,0.02,0.021,0.008333333,0.011333333,0.012333333,0.011333333,0.012333333,0.004,0.005,0.005
1.33,0.114,0.113,0.109,0.036,0.049,0.061,0.02,0.037,0.024,0.013,0.01,0.014,0.009,0.01,0.014,0.008,0.067,0.007,0.013,0.004,0.04,0.029,0.013,0.009,0.009,0.007,0.011,0.015,0.016,0.06,0.074,0.064,0.063,0.075,0.085,0.015,0.013,0.049,0.029,0.025,0.047,0.063,0.069,0.003,0.004,0.01,0.023,0.023,0.008333333,0.011333333,0.012333333,0.011333333,0.012333333,0.005,0.006,0.006
1.67,0.118,0.118,0.122,0.046,0.064,0.078,0.024,0.04,0.028,0.015,0.011,0.016,0.01,0.01,0.015,0.008,0.069,0.008,0.014,0.004,0.043,0.031,0.014,0.009,0.01,0.007,0.011,0.016,0.017,0.078,0.092,0.084,0.085,0.1,0.121,0.018,0.017,0.066,0.041,0.033,0.061,0.079,0.084,0.004,0.005,0.011,0.027,0.026,0.008333333,0.012333333,0.013333333,0.011333333,0.013333333,0.005,0.006,0.006
2,0.124,0.125,0.136,0.058,0.081,0.099,0.029,0.045,0.033,0.015,0.01,0.015,0.01,0.011,0.016,0.009,0.07,0.008,0.014,0.004,0.047,0.033,0.016,0.009,0.01,0.007,0.012,0.017,0.019,0.098,0.111,0.104,0.112,0.131,0.159,0.022,0.021,0.085,0.054,0.045,0.077,0.096,0.102,0.005,0.006,0.013,0.031,0.03,0.008333333,0.012333333,0.013333333,0.012333333,0.013333333,0.005,0.006,0.006
2.33,0.126,0.131,0.143,0.072,0.102,0.125,0.034,0.051,0.039,0.021,0.014,0.019,0.011,0.011,0.017,0.009,0.07,0.009,0.014,0.004,0.052,0.037,0.017,0.01,0.011,0.008,0.014,0.019,0.021,0.119,0.133,0.127,0.142,0.167,0.199,0.027,0.025,0.104,0.071,0.061,0.096,0.118,0.124,0.006,0.008,0.015,0.036,0.033,0.009333333,0.013333333,0.013333333,0.012333333,0.014333333,0.005,0.006,0.006
2.67,0.129,0.135,0.152,0.087,0.127,0.155,0.041,0.059,0.047,0.028,0.019,0.024,0.011,0.012,0.018,0.009,0.071,0.01,0.015,0.004,0.056,0.04,0.018,0.01,0.012,0.008,0.015,0.021,0.023,0.144,0.159,0.153,0.177,0.207,0.244,0.033,0.03,0.129,0.09,0.08,0.119,0.145,0.15,0.007,0.009,0.017,0.041,0.037,0.009333333,0.013333333,0.013333333,0.012333333,0.014333333,0.005,0.006,0.006
3,0.126,0.135,0.157,0.105,0.155,0.188,0.048,0.068,0.055,0.035,0.023,0.028,0.012,0.012,0.018,0.01,0.071,0.011,0.015,0.004,0.062,0.044,0.02,0.011,0.012,0.008,0.016,0.023,0.025,0.171,0.187,0.182,0.217,0.25,0.291,0.039,0.036,0.157,0.116,0.104,0.147,0.176,0.179,0.008,0.01,0.019,0.047,0.041,0.009333333,0.014333333,0.013333333,0.013333333,0.015333333,0.005,0.007,0.007
